query,target,method,time
premz,876.800000011921,pyteomics,6.7463465998880565
premz,876.800000011921,pyopenms,2.70922389999032
premz,876.800000011921,pymzml,2.799978299997747
premz,876.800000011921,mzMLb,5.967145100003108
premz,876.800000011921,mzDB,0.03700620005838573
premz,876.800000011921,MZA,1.8348218000028282
premz,876.800000011921,SQLite,0.01816460001282394
premz,876.800000011921,DuckDB,0.010691400151699781
premz,876.800000011921,Parquet,0.008929699892178178
premz,781.555004894733,pyteomics,6.891869700048119
premz,781.555004894733,pyopenms,2.7033983999863267
premz,781.555004894733,pymzml,2.793082700110972
premz,781.555004894733,mzMLb,5.9715915999840945
premz,781.555004894733,mzDB,0.03485449985601008
premz,781.555004894733,MZA,1.8076637999620289
premz,781.555004894733,SQLite,0.017165400087833405
premz,781.555004894733,DuckDB,0.011297800112515688
premz,781.555004894733,Parquet,0.008966899942606688
premz,759.632275402546,pyteomics,6.71598819992505
premz,759.632275402546,pyopenms,2.7157344999723136
premz,759.632275402546,pymzml,2.791561499936506
premz,759.632275402546,mzMLb,5.987323600100353
premz,759.632275402546,mzDB,0.023822100134566426
premz,759.632275402546,MZA,1.822138800052926
premz,759.632275402546,SQLite,0.017600599909201264
premz,759.632275402546,DuckDB,0.01100239995867014
premz,759.632275402546,Parquet,0.00855889986269176
premz,780.549755871296,pyteomics,6.76175000006333
premz,780.549755871296,pyopenms,2.7219166001304984
premz,780.549755871296,pymzml,2.773284399881959
premz,780.549755871296,mzMLb,5.974281900096685
premz,780.549755871296,mzDB,0.045219600200653076
premz,780.549755871296,MZA,1.8098098000045866
premz,780.549755871296,SQLite,0.01835860009305179
premz,780.549755871296,DuckDB,0.011984699871391058
premz,780.549755871296,Parquet,0.009140199981629848
premz,690.617199718952,pyteomics,6.772581099998206
premz,690.617199718952,pyopenms,2.717935999855399
premz,690.617199718952,pymzml,2.771805000025779
premz,690.617199718952,mzMLb,5.934050000039861
premz,690.617199718952,mzDB,0.03911709995009005
premz,690.617199718952,MZA,1.8029322000220418
premz,690.617199718952,SQLite,0.01719979988411069
premz,690.617199718952,DuckDB,0.011359900003299117
premz,690.617199718952,Parquet,0.0090658999979496
premz,786.599255383015,pyteomics,6.781666599912569
premz,786.599255383015,pyopenms,2.698662899900228
premz,786.599255383015,pymzml,2.79661039984785
premz,786.599255383015,mzMLb,5.947037199977785
premz,786.599255383015,mzDB,0.0656103000510484
premz,786.599255383015,MZA,1.7975991000421345
premz,786.599255383015,SQLite,0.01811990002170205
premz,786.599255383015,DuckDB,0.011349600041285157
premz,786.599255383015,Parquet,0.008595299907028675
fragmz,149.02310180664062,pyteomics,7.587912000017241
fragmz,149.02310180664062,pyopenms,2.7861339999362826
fragmz,149.02310180664062,pymzml,3.2246175999753177
fragmz,149.02310180664062,mzMLb,6.5701981000602245
fragmz,149.02310180664062,mzDB,2.4806709000840783
fragmz,149.02310180664062,MZA,11.227257000049576
fragmz,149.02310180664062,SQLite,0.01726939994841814
fragmz,149.02310180664062,DuckDB,0.013698300113901496
fragmz,149.02310180664062,Parquet,0.009396699955686927
fragmz,369.3511657714844,pyteomics,7.3852319999132305
fragmz,369.3511657714844,pyopenms,2.78489280003123
fragmz,369.3511657714844,pymzml,3.2243977999314666
